VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,ExitKey.keys,ExitKey.rt,Feedbackbox.text
space,6.7796,space,80.2646,3,0,21.6425,0,0,0,2,1,Headphone/t2_1.wav,2,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,2.9722,0,1,1,5,1,Headphone/t3_2.wav,3,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.927,0,2,2,1,1,Headphone/t1_2.wav,1,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.7415,0,3,3,0,1,Headphone/t1_1.wav,1,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,1.8259,0,4,4,4,1,Headphone/t3_1.wav,3,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.4684,0,5,5,3,1,Headphone/t2_2.wav,2,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,space,29.7336,space,5.9387,2,19.5112,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,1,6.9302,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,2,2.0753,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,2,2.3261,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,1,1.5062,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/SI_VAI_CHU.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,space,10.8202,2,1,3.3572,0,0,0,0,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,2.2631,0,1,1,1,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,0,1.6928,0,2,2,2,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/PAI_LU_WA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,4.3123,0,3,3,3,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,6.2191,0,4,4,4,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,0,1.0408,0,5,5,5,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/GU_CHAI_PI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,2.4151,0,6,6,6,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,1.368,0,7,7,7,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,0,2.2454,0,8,8,8,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,2.6834,0,9,9,9,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,1.8866,0,10,10,10,1,2,NEW,NEW,F,,,,,,,,
