Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,144.3517,space,4.9321,space,23.2768,space,29.6597,3,1,3.0273,0,0,0,4,1,Headphone/t3_1.wav,3,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.3269,0,1,1,0,1,Headphone/t1_1.wav,1,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.8596,0,2,2,5,1,Headphone/t3_2.wav,3,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.9326,0,3,3,1,1,Headphone/t1_2.wav,1,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.7263,0,4,4,3,1,Headphone/t2_2.wav,2,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.2421,0,5,5,2,1,Headphone/t2_1.wav,2,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,space,44.5641,space,13.7948,1,space,6.8999,2,1,7.7824,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,0,2.6862,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,7.8334,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,4.3337,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,9.4352,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,E,,,,,,,,,,,,,space,6.6652,2,1,3.5188,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,E,,,,,,,,,,,,,,,2,1,1.7018,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,E,,,,,,,,,,,,,,,2,1,2.8373,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,5592fd82fdf99b59a8fb1e61,2021-07-14_07h03.55.548,Agingstudy,2020.2.10,Win32,60,,,,,E,,,,,,,,,,,,,,,2,1,5.2174,0,3,3,3,1,2,NEW,NEW,,,,,,,,
