Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,6.5451,space,3.5417,space,10.2605,space,10.1571,3,0,1.9869,0,0,0,0,1,Headphone/t1_1.wav,1,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,1.6355,0,1,1,3,1,Headphone/t2_2.wav,2,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,1.532,0,2,2,5,1,Headphone/t3_2.wav,3,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,1.2363,0,3,3,2,1,Headphone/t2_1.wav,2,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,1.3862,0,4,4,1,1,Headphone/t1_2.wav,1,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,1.0196,0,5,5,4,1,Headphone/t3_1.wav,3,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,space,19.639,space,22.4189,1,space,3.9646,2,1,6.3188,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,5.4305,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.8832,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ab14bdeb0ca80000197e6b6,2021-07-08_17h44.01.365,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.7252,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
