Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,12.39,space,7.0983,space,19.1429,space,15.4916,2,1,6.9667,0,0,0,3,1,Headphone/t2_2.wav,2,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.9349,0,1,1,2,1,Headphone/t2_1.wav,2,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.0052,0,2,2,0,1,Headphone/t1_1.wav,1,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.8353,0,3,3,5,1,Headphone/t3_2.wav,3,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,2.0858,0,4,4,1,1,Headphone/t1_2.wav,1,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.7266,0,5,5,4,1,Headphone/t3_1.wav,3,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,space,24.5081,space,9.4623,1,space,7.2312,2,1,6.0146,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,0,3.6311,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,5.26,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,0,0.9743,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,5.4405,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,space,17.2619,2,1,3.7444,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,,,2,1,0.9946,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,,,2,1,0.9021,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,,,2,1,1.3253,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,,,2,1,1.141,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60381c56a3d28f19c7093147,2021-07-08_19h14.05.662,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,,,2,1,1.0893,0,5,5,5,1,2,NEW,NEW,,,,,,,,
