Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,79.2543,space,14.9374,space,5.333,space,19.7326,2,1,4.3566,0,0,0,3,1,Headphone/t2_2.wav,2,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,2.2588,0,1,1,2,1,Headphone/t2_1.wav,2,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,2.8409,0,2,2,4,1,Headphone/t3_1.wav,3,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.9561,0,3,3,5,1,Headphone/t3_2.wav,3,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.5592,0,4,4,1,1,Headphone/t1_2.wav,1,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.621,0,5,5,0,1,Headphone/t1_1.wav,1,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,space,22.5865,space,9.5823,1,space,7.1535,2,1,10.0476,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,4.8664,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,3.0218,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,4.2027,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,2.6464,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,space,13.0369,2,1,3.1355,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,2.452,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.9443,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,2.2535,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_PU_MO.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,3.2878,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,3.2886,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,3.4837,0,6,6,6,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,2.0139,0,7,7,7,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,2.7883,0,8,8,8,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_MO_PU.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,6.5871,0,9,9,9,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.8567,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,2.1187,0,11,11,11,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,3.1682,0,12,12,12,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/ZO_RAI_FU.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.9036,0,13,13,13,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60d7de8c5f5bcb8332d5e1a0,2021-07-14_02h22.39.076,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,1.9339,0,14,14,14,1,1,OLD,OLD,,,,,,,,
