Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,7.2065,space,2.729,space,10.1625,space,11.7661,1,0,2.0807,0,0,0,2,1,Headphone/t2_1.wav,2,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.0351,0,1,1,5,1,Headphone/t3_2.wav,3,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.992,0,2,2,0,1,Headphone/t1_1.wav,1,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.5004,0,3,3,3,1,Headphone/t2_2.wav,2,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,0.8678,0,4,4,4,1,Headphone/t3_1.wav,3,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,2.4463,0,5,5,1,1,Headphone/t1_2.wav,1,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,space,40.2962,space,8.188,1,space,7.1166,2,1,8.0894,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,1,1,6.8155,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,2,1,6.7123,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60dc3437a927158774f209e1,2021-07-15_10h26.49.692,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efff2c645321a9e0216dd1,,,,,,,,2,1,2.7692,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
