RT,Syllable,Position,Occurrence,Subject
0.63193,pu,2,1,1
0.37873,pu,2,1,1
0.13176,pu,2,1,1
0.36758,pu,2,1,1
0.50133,ta,1,1,1
0.51474,ta,1,1,1
0.737625,ta,1,1,1
0.3145,me,3,1,1
0.442,me,3,1,1
0.470705,fe,1,1,1
0.431595,fe,1,1,1
0.318605,fe,1,1,1
0.40747,ko,3,1,1
0.46597,ko,3,1,1
0.314505,ko,3,1,1
0.419285,ko,3,1,1
0.389595,ti,2,1,1
0.58416,ti,2,1,1
0.48142,ti,2,1,1
0.422615,ti,2,1,1
0.490155,ni,3,1,1
0.37776,ni,3,1,1
0.65701,ni,3,1,1
0.620375,ni,3,1,1
0.44991,re,1,1,1
0.48694,re,1,1,1
0.54097,re,1,1,1
0.483695,re,1,1,1
0.476105,fu,2,1,1
0.43441,fu,2,1,1
0.45752,fu,2,1,1
0.48854,fu,2,1,1
0.384705,ru,1,1,1
0.39462,ru,1,1,1
0.508035,ru,1,1,1
0.416375,ge,2,1,1
0.46519,ge,2,1,1
0.489905,ge,2,1,1
0.433615,su,3,1,1
0.417695,su,3,1,1
0.481695,su,3,1,1
0.45143,me,3,2,1
0.367485,me,3,2,1
0.433465,me,3,2,1
0.3841,me,3,2,1
0.623565,ti,2,2,1
0.803925,ti,2,2,1
0.56975,ti,2,2,1
0.542045,ti,2,2,1
0.42639,ta,1,2,1
0.5067,ta,1,2,1
0.417495,ta,1,2,1
0.845,ta,1,2,1
0.50072,pu,2,2,1
0.45136,pu,2,2,1
0.423555,pu,2,2,1
0.583895,ko,3,2,1
0.556345,ko,3,2,1
0.451475,ko,3,2,1
0.59541,fe,1,2,1
0.39595,fe,1,2,1
0.738285,fe,1,2,1
0.73356,fe,1,2,1
0.49479,ge,2,2,1
0.45231,ge,2,2,1
0.435515,ge,2,2,1
0.386125,ge,2,2,1
0.367375,ru,1,2,1
0.651935,ru,1,2,1
0.43761,ru,1,2,1
0.57784,ru,1,2,1
0.53348,su,3,2,1
0.42131,su,3,2,1
0.441855,re,1,2,1
0.409455,re,1,2,1
0.52226,re,1,2,1
0.399815,re,1,2,1
0.483465,ni,3,2,1
0.48708,ni,3,2,1
0.87088,ni,3,2,1
0.58665,fu,2,2,1
0.37291,fu,2,2,1
0.451555,ta,1,3,1
0.535855,ta,1,3,1
0.476555,ta,1,3,1
0.540755,ti,2,3,1
0.76069,ti,2,3,1
0.748825,ti,2,3,1
1.032415,ti,2,3,1
0.383105,me,3,3,1
0.548725,me,3,3,1
0.615115,pu,2,3,1
0.66228,pu,2,3,1
0.610745,pu,2,3,1
0.668555,su,3,3,1
0.583945,su,3,3,1
0.36691,su,3,3,1
0.458975,ru,1,3,1
0.54096,ru,1,3,1
0.46552,ru,1,3,1
0.565805,ru,1,3,1
0.38515,ko,3,3,1
