Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,7.2018,space,5.1316,space,19.4157,space,7.307,2,1,8.5471,0,0,0,3,1,Headphone/t2_2.wav,2,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,26.1415,0,1,1,5,1,Headphone/t3_2.wav,3,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.505,0,2,2,0,1,Headphone/t1_1.wav,1,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.3896,0,3,3,2,1,Headphone/t2_1.wav,2,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.3685,0,4,4,4,1,Headphone/t3_1.wav,3,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.6156,0,5,5,1,1,Headphone/t1_2.wav,1,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,space,20.6365,space,10.247,1,space,18.4181,2,1,5.0078,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,2.8819,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.1797,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5eb4841544c2df2f0190e8a0,2021-07-14_16h10.57.230,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,3.4304,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
