Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MSTTestOptionKeys.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,5.1835,space,4.2639,space,5.049,space,12.9068,2,1,3.3461,0,0,0,3,1,Headphone/t2_2.wav,2,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.6265,0,1,1,1,1,Headphone/t1_2.wav,1,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.7997,0,2,2,5,1,Headphone/t3_2.wav,3,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.3455,0,3,3,4,1,Headphone/t3_1.wav,3,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.4472,0,4,4,0,1,Headphone/t1_1.wav,1,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.2937,0,5,5,2,1,Headphone/t2_1.wav,2,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,space,13.3016,space,6.2326,1,space,3.4882,2,1,2.8221,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.4408,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,4.5643,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,3.2706,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.9778,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,space,5.5342,2,1,3.1277,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,3.4995,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,3.2596,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,1.2072,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,0.4856,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,1.0957,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/ZO_RAI_FU.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,1.6438,0,6,6,6,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,0.2847,0,7,7,7,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,0.3079,0,8,8,8,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,1,1,0.6575,0,9,9,9,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,1.1847,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,0.4973,0,11,11,11,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,1,1,0.3088,0,12,12,12,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,0.7689,0,13,13,13,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,5ff649fda2b5841ceef90ff0,2021-07-05_12h33.09.199,Agingstudy,2020.2.10,Win32,60,,,,,D,,,,,,,,,,,,,,,2,1,0.9177,0,14,14,14,1,2,NEW,SIMILAR,,,,,,,,
