Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,10.376,space,3.579,space,4.351,space,4.382,3,1,0.273,0,0,0,4,1,Headphone/t3_1.wav,3,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.372,0,1,1,0,1,Headphone/t1_1.wav,1,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.236,0,2,2,2,1,Headphone/t2_1.wav,2,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.369,0,3,3,5,1,Headphone/t3_2.wav,3,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.325,0,4,4,1,1,Headphone/t1_2.wav,1,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.233,0,5,5,3,1,Headphone/t2_2.wav,2,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,space,22.144,space,7.454,1,space,7.348,2,1,5.795,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,1,1,1.595,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,2,1,1.218,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,602fa684fc65e0cb663c1970,2021-07-09_17h09.42.143,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e866a7d1b26f743cf5e615,,,,,,,,2,1,1.398,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
