Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,12.665,space,7.651,space,4.474,space,27.5758,2,1,2.2335,0,0,0,2,1,Headphone/t2_1.wav,2,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.4227,0,1,1,4,1,Headphone/t3_1.wav,3,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.0464,0,2,2,5,1,Headphone/t3_2.wav,3,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.8888,0,3,3,3,1,Headphone/t2_2.wav,2,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.8701,0,4,4,1,1,Headphone/t1_2.wav,1,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.8843,0,5,5,0,1,Headphone/t1_1.wav,1,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,space,31.9262,space,12.5215,1,space,7.2174,2,1,2.3741,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,0,1.8345,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.5473,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,609d952e0aeb66af769d89cb,2021-07-14_16h14.52.149,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,4.3565,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
