Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,60.6897,space,5.983,space,13.0181,space,15.7716,2,1,3.1427,0,0,0,3,1,Headphone/t2_2.wav,2,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.8016,0,1,1,5,1,Headphone/t3_2.wav,3,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.9329,0,2,2,1,1,Headphone/t1_2.wav,1,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.599,0,3,3,0,1,Headphone/t1_1.wav,1,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.6678,0,4,4,4,1,Headphone/t3_1.wav,3,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.4139,0,5,5,2,1,Headphone/t2_1.wav,2,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,space,34.4743,space,12.3756,1,space,4.9773,2,1,7.1737,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.4745,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,3.0584,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.0874,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.7247,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,569298838d93fe000dfa033c,2021-11-02_10h08.38.592,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,space,8.3704,2,1,2.4693,0,0,0,0,1,2,NEW,NEW,,,,,,,,
