Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,6.049,space,3.545,space,3.751,space,21.571,2,1,2.14,0,0,0,2,1,Headphone/t2_1.wav,2,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.452,0,1,1,0,1,Headphone/t1_1.wav,1,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.385,0,2,2,3,1,Headphone/t2_2.wav,2,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.472,0,3,3,1,1,Headphone/t1_2.wav,1,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.253,0,4,4,5,1,Headphone/t3_2.wav,3,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.282,0,5,5,4,1,Headphone/t3_1.wav,3,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,space,24.194,space,14.604,1,space,5.815,2,1,3.984,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,1.278,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.658,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,0.889,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,0.417,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,space,2.589,1,0,4.832,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,1,0,0.782,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_GI_SA.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,1.846,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.609,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.318,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,0,0.439,0,5,5,5,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,1,0,0.467,0,6,6,6,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,0,0.636,0,7,7,7,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NA_WAI_VU.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.565,0,8,8,8,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,1,1,0.563,0,9,9,9,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,1,1,0.548,0,10,10,10,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_SA_TAI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.33,0,11,11,11,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,1,0,0.478,0,12,12,12,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,1,1,0.444,0,13,13,13,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SI_VAI_CHU.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.264,0,14,14,14,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_TAI_SA.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.139,0,15,15,15,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,0,0.482,0,16,16,16,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,578bb26f6cc44500010448c8,2021-07-14_07h11.37.627,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,1,0,0.296,0,17,17,17,1,2,NEW,NEW,,,,,,,,
