Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,8.7568,space,5.7978,space,8.6743,space,13.2867,3,1,8.4932,0,0,0,5,1,Headphone/t3_2.wav,3,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.8612,0,1,1,3,1,Headphone/t2_2.wav,2,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.6551,0,2,2,4,1,Headphone/t3_1.wav,3,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.5572,0,3,3,0,1,Headphone/t1_1.wav,1,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.374,0,4,4,2,1,Headphone/t2_1.wav,2,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.302,0,5,5,1,1,Headphone/t1_2.wav,1,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,space,16.7417,space,10.095,1,space,4.8226,2,1,6.8482,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,2.3695,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.6439,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.5814,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.6849,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,space,7.041,2,1,2.4304,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,,,2,1,1.1064,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,,,2,1,0.9652,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,57de9b670cb6700001dd7c9f,2021-08-03_18h57.35.124,Agingstudy,2020.2.10,Win32,60,,,,,C,,,,,,,,,,,,,,,2,1,0.8281,0,3,3,3,1,2,NEW,NEW,,,,,,,,
