Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,32.453,space,7.2233,space,16.6153,space,10.4437,3,1,5.1391,0,0,0,5,1,Headphone/t3_2.wav,3,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.1054,0,1,1,3,1,Headphone/t2_2.wav,2,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.7525,0,2,2,2,1,Headphone/t2_1.wav,2,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.5831,0,3,3,4,1,Headphone/t3_1.wav,3,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.8687,0,4,4,0,1,Headphone/t1_1.wav,1,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.285,0,5,5,1,1,Headphone/t1_2.wav,1,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,space,21.4181,space,9.923,1,space,4.3558,2,1,3.5021,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.9187,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.2987,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5bc913d99427200001dd47f5,2021-11-04_14h46.19.847,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.2179,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
