Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,3.7944,space,1.8302,space,3.5069,space,7.7404,3,1,1.3611,0,0,0,4,1,Headphone/t3_1.wav,3,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.3309,0,1,1,1,1,Headphone/t1_2.wav,1,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,0.3237,0,2,2,2,1,Headphone/t2_1.wav,2,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.3845,0,3,3,3,1,Headphone/t2_2.wav,2,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.3516,0,4,4,0,1,Headphone/t1_1.wav,1,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.4238,0,5,5,5,1,Headphone/t3_2.wav,3,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,space,9.197,space,3.8426,1,space,2.5119,2,1,3.4022,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.3257,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.1593,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.2734,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,2.6107,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,space,8.452,2,1,2.4617,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,0.9838,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.3536,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.5752,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_PU_MO.wav,,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.3783,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.7292,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,5c0990b854deae0001ac693c,2021-07-19_17h02.37.593,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.6412,0,6,6,6,1,2,NEW,NEW,,,,,,,,
