Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,38.94,space,11.0229,space,22.9502,space,19.6457,1,1,4.9621,0,0,0,1,1,Headphone/t1_2.wav,1,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.4367,0,1,1,5,1,Headphone/t3_2.wav,3,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.7729,0,2,2,2,1,Headphone/t2_1.wav,2,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.6356,0,3,3,4,1,Headphone/t3_1.wav,3,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.8358,0,4,4,3,1,Headphone/t2_2.wav,2,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.7692,0,5,5,0,1,Headphone/t1_1.wav,1,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,space,116.9689,space,15.7546,1,space,10.1231,2,1,9.9843,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.806,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,3.9218,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,3.0404,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,6.1728,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,A,,,,,,,,,,,,,space,76.7298,2,1,7.5798,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,A,,,,,,,,,,,,,,,2,1,3.7707,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_GI_SA.wav,,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,A,,,,,,,,,,,,,,,2,1,0.8365,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,A,,,,,,,,,,,,,,,1,0,4.8752,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,A,,,,,,,,,,,,,,,2,1,1.6988,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5c377642bc6444000133aae9,2021-08-03_18h59.14.394,Agingstudy,2020.2.10,Win32,60,,,,,A,,,,,,,,,,,,,,,1,1,1.1871,0,5,5,5,1,1,OLD,OLD,,,,,,,,
