Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,9.4817,space,6.1019,space,18.4962,space,23.922,1,1,4.6489,0,0,0,1,1,Headphone/t1_2.wav,1,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,4.6028,0,1,1,4,1,Headphone/t3_1.wav,3,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.5365,0,2,2,3,1,Headphone/t2_2.wav,2,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.9028,0,3,3,5,1,Headphone/t3_2.wav,3,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.5777,0,4,4,0,1,Headphone/t1_1.wav,1,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.4943,0,5,5,2,1,Headphone/t2_1.wav,2,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,space,31.2212,space,15.8097,1,space,5.2352,2,1,20.8759,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,0,3.3664,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.1164,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5c73a9d92dfbdb0001b95375,2021-11-01_07h01.24.838,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,0.5915,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
