Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,14.4683,space,7.3537,space,7.5832,space,18.0615,3,1,3.4357,0,0,0,4,1,Headphone/t3_1.wav,3,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.5059,0,1,1,3,1,Headphone/t2_2.wav,2,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.785,0,2,2,1,1,Headphone/t1_2.wav,1,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.4769,0,3,3,5,1,Headphone/t3_2.wav,3,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.6667,0,4,4,2,1,Headphone/t2_1.wav,2,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.5898,0,5,5,0,1,Headphone/t1_1.wav,1,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,space,20.3926,space,10.0479,1,space,5.6984,1,0,5.2783,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,1.9393,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.469,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,4.0151,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,2.2737,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,space,10.2992,2,1,3.6678,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,1.3631,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_GI_SA.wav,,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.7692,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.5701,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,1,0.6891,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5cb929bfebd17d0017e7f848,2021-08-05_23h27.25.212,Agingstudy,2020.2.10,MacIntel,60,,,,,A,,,,,,,,,,,,,,,2,0,0.4183,0,5,5,5,1,1,OLD,OLD,,,,,,,,
