Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,5.998,space,5.0279,space,20.9532,space,19.4131,2,0,5.6551,0,0,0,5,1,Headphone/t3_2.wav,3,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.4974,0,1,1,4,1,Headphone/t3_1.wav,3,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.6593,0,2,2,1,1,Headphone/t1_2.wav,1,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.4298,0,3,3,2,1,Headphone/t2_1.wav,2,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.5038,0,4,4,3,1,Headphone/t2_2.wav,2,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.334,0,5,5,0,1,Headphone/t1_1.wav,1,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,space,14.8136,space,8.9515,1,space,4.7586,1,0,21.4625,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,4.6158,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,3.5542,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5cd2ee8d66bd5c001747f52e,2021-07-20_16h52.51.871,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.9341,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
