Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran
space,129.0539,space,7.4505,space,53.8297,space,71.6365,2,1,9.7374,0,0,0,2,1,Headphone/t2_1.wav,2,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,136.992,0,1,1,0,1,Headphone/t1_1.wav,1,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,97.6876,0,2,2,1,1,Headphone/t1_2.wav,1,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,36.8359,0,3,3,3,1,Headphone/t2_2.wav,2,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,1,4.8552,0,4,4,4,1,Headphone/t3_1.wav,3,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,1,2.1672,0,5,5,5,1,Headphone/t3_2.wav,3,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,space,9.4142,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,0,0,0,0,1
,,,,,,,,1,1,1.4201,0,0,0,1,1,Headphone/t1_2.wav,1,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,1,1.2706,0,1,1,4,1,Headphone/t3_1.wav,3,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,1,2.7138,0,2,2,0,1,Headphone/t1_1.wav,1,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,1,2.5841,0,3,3,3,1,Headphone/t2_2.wav,2,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,61.3087,0,4,4,2,1,Headphone/t2_1.wav,2,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,3.8976,0,5,5,5,1,Headphone/t3_2.wav,3,5d3356323e1190001909339b,2021-07-19_23h23.47.367,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
