Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,10.6235,space,5.4202,space,5.2869,space,10.7205,3,1,2.6407,0,0,0,4,1,Headphone/t3_1.wav,3,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.3164,0,1,1,0,1,Headphone/t1_1.wav,1,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.7745,0,2,2,5,1,Headphone/t3_2.wav,3,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.9986,0,3,3,1,1,Headphone/t1_2.wav,1,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.3516,0,4,4,2,1,Headphone/t2_1.wav,2,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.5009,0,5,5,3,1,Headphone/t2_2.wav,2,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,space,20.6921,space,5.2482,1,space,3.1261,2,1,3.5569,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,2.9533,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.9355,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,3.9586,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.6862,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SI_VAI_CHU.wav,,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,space,8.9789,2,1,3.8361,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,1.0941,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,1.5409,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/PAI_LU_WA.wav,,5e80df6ef5008e7bff2ec9b3,2021-07-19_17h37.56.791,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,1.2051,0,3,3,3,1,2,NEW,NEW,,,,,,,,
