Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,59.4934,space,2.1295,space,4.781,space,43.069,1,0,2.9988,0,0,0,4,1,Headphone/t3_1.wav,3,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.933,0,1,1,2,1,Headphone/t2_1.wav,2,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.5849,0,2,2,3,1,Headphone/t2_2.wav,2,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.5001,0,3,3,1,1,Headphone/t1_2.wav,1,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.6167,0,4,4,0,1,Headphone/t1_1.wav,1,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.6838,0,5,5,5,1,Headphone/t3_2.wav,3,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,space,31.4091,space,12.3206,1,space,6.8684,2,1,19.6585,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.8999,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,8.3258,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,6.5037,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.8663,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,space,8.975,2,1,8.7627,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.1835,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.2756,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.6393,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_PU_MO.wav,,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.0173,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5ea19dcac30e0005e6e6b6e3,2021-08-03_18h54.36.504,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,0.924,0,5,5,5,1,2,NEW,NEW,,,,,,,,
