Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,7.8304,space,6.1056,space,28.12,space,9.8425,3,1,3.7869,0,0,0,4,1,Headphone/t3_1.wav,3,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.5518,0,1,1,0,1,Headphone/t1_1.wav,1,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.3517,0,2,2,1,1,Headphone/t1_2.wav,1,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.5764,0,3,3,3,1,Headphone/t2_2.wav,2,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.4184,0,4,4,2,1,Headphone/t2_1.wav,2,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.1597,0,5,5,5,1,Headphone/t3_2.wav,3,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,space,32.7221,space,6.8732,1,space,4.438,2,1,4.4713,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,2.4614,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,0,6.6938,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ea95ba3b85a0604454c8624,2021-11-02_07h18.55.811,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.8181,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
