Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,12.824,space,8.227,space,42.1859,space,24.3302,2,1,3.0922,0,0,0,3,1,Headphone/t2_2.wav,2,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.063,0,1,1,1,1,Headphone/t1_2.wav,1,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.7998,0,2,2,0,1,Headphone/t1_1.wav,1,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.3795,0,3,3,5,1,Headphone/t3_2.wav,3,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.6705,0,4,4,2,1,Headphone/t2_1.wav,2,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.5236,0,5,5,4,1,Headphone/t3_1.wav,3,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,space,36.5921,space,11.8802,1,space,4.4405,2,1,7.8518,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,6.0328,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.4826,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.0575,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5f1b05a8703c380d1393bb27,2021-11-03_13h49.53.564,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,2.6558,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
