Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,9.5692,space,9.6253,space,5.9364,space,14.252,1,1,4.8958,0,0,0,1,1,Headphone/t1_2.wav,1,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.8999,0,1,1,3,1,Headphone/t2_2.wav,2,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.0346,0,2,2,2,1,Headphone/t2_1.wav,2,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.9656,0,3,3,0,1,Headphone/t1_1.wav,1,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.2833,0,4,4,4,1,Headphone/t3_1.wav,3,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.0852,0,5,5,5,1,Headphone/t3_2.wav,3,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,space,21.7928,space,9.7324,1,space,6.0749,2,1,5.5421,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.9451,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.7837,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f2178ec626bc35254b5145e,2021-07-14_05h50.09.223,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,7.7567,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
