Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,17.65,space,9.235,space,9.128,space,23.367,1,1,4.351,0,0,0,1,1,Headphone/t1_2.wav,1,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.424,0,1,1,4,1,Headphone/t3_1.wav,3,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,1.028,0,2,2,5,1,Headphone/t3_2.wav,3,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.554,0,3,3,2,1,Headphone/t2_1.wav,2,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.557,0,4,4,0,1,Headphone/t1_1.wav,1,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.385,0,5,5,3,1,Headphone/t2_2.wav,2,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,space,19.702,space,11.432,1,space,4.472,2,1,8.793,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.462,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.985,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5f6c423e8071b21b35b07ea6,2021-08-03_18h57.19.514,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.115,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
