Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,10.6945,space,11.8934,space,19.0818,space,16.4201,2,1,2.479,0,0,0,3,1,Headphone/t2_2.wav,2,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.419,0,1,1,5,1,Headphone/t3_2.wav,3,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.4357,0,2,2,2,1,Headphone/t2_1.wav,2,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.1442,0,3,3,1,1,Headphone/t1_2.wav,1,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.1669,0,4,4,4,1,Headphone/t3_1.wav,3,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.1067,0,5,5,0,1,Headphone/t1_1.wav,1,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,space,42.9907,space,16.1625,1,space,7.3689,2,1,5.5711,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,6.2714,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,3.1856,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,601d69a993d94008fb2b25dc,2021-07-19_17h11.16.345,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,9.7285,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
