Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran
space,7.6041,space,4.6776,space,3.8811,space,71.7523,1,0,17.8004,0,0,0,2,1,Headphone/t2_1.wav,2,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,3.3714,0,1,1,1,1,Headphone/t1_2.wav,1,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.753,0,2,2,4,1,Headphone/t3_1.wav,3,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.4367,0,3,3,3,1,Headphone/t2_2.wav,2,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.4385,0,4,4,5,1,Headphone/t3_2.wav,3,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.6377,0,5,5,0,1,Headphone/t1_1.wav,1,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,space,15.2133,space,10.374,1,space,1.8029,2,1,26.3497,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,4.9506,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,0,14.5395,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,0,4.1614,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,
