Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,9.9249,space,6.2425,space,2.6587,space,10.695,2,1,4.0073,0,0,0,3,1,Headphone/t2_2.wav,2,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.4015,0,1,1,2,1,Headphone/t2_1.wav,2,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.6175,0,2,2,4,1,Headphone/t3_1.wav,3,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.0346,0,3,3,1,1,Headphone/t1_2.wav,1,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.1066,0,4,4,0,1,Headphone/t1_1.wav,1,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.5241,0,5,5,5,1,Headphone/t3_2.wav,3,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,space,17.9432,space,7.7139,1,space,3.3193,2,1,5.1206,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.5238,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.9702,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6086c333d6eb73cfdd564e90,2021-07-14_06h47.35.991,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,0.9507,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
