Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran
space,17.0253,space,12.4997,space,5.3064,space,23.8139,2,0,8.3614,0,0,0,1,1,Headphone/t1_2.wav,1,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,1,20.6663,0,1,1,4,1,Headphone/t3_1.wav,3,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,1.4446,0,2,2,3,1,Headphone/t2_2.wav,2,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,6.2408,0,3,3,0,1,Headphone/t1_1.wav,1,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,0.7834,0,4,4,5,1,Headphone/t3_2.wav,3,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,1.6634,0,5,5,2,1,Headphone/t2_1.wav,2,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,space,5.6146,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,0,0,0,0,1
,,,,,,,,1,0,4.7837,0,0,0,3,1,Headphone/t2_2.wav,2,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,0.8661,0,1,1,1,1,Headphone/t1_2.wav,1,60b18fbfb6c5d8edfaa5bed0,2021-08-05_21h29.41.681,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
