Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,32.8783,space,4.1349,space,12.1804,space,16.0988,1,1,1.5836,0,0,0,1,1,Headphone/t1_2.wav,1,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,0,5.1933,0,1,1,4,1,Headphone/t3_1.wav,3,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.7451,0,2,2,0,1,Headphone/t1_1.wav,1,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.6969,0,3,3,5,1,Headphone/t3_2.wav,3,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.7668,0,4,4,2,1,Headphone/t2_1.wav,2,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,0.6503,0,5,5,3,1,Headphone/t2_2.wav,2,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,space,3.8353,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.0915,0,0,0,5,1,Headphone/t3_2.wav,3,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.058,0,1,1,2,1,Headphone/t2_1.wav,2,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.7116,0,2,2,4,1,Headphone/t3_1.wav,3,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.0213,0,3,3,3,1,Headphone/t2_2.wav,2,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.7752,0,4,4,1,1,Headphone/t1_2.wav,1,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.7044,0,5,5,0,1,Headphone/t1_1.wav,1,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,space,13.8659,space,8.7454,1,space,3.8127,2,1,4.1234,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,1,1,2.0535,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,2,1,0.5601,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,1,0,0.3309,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60cd45f3a4134f92558cc450,2021-08-02_14h38.28.074,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,1,1,1.1572,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
