Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,8.125175,space,5.65911,space,15.13766,space,16.820855,1,0,2.729785,0,0,0,5,1,Headphone/t3_2.wav,3,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,0.88805,0,1,1,2,1,Headphone/t2_1.wav,2,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,0.67169,0,2,2,3,1,Headphone/t2_2.wav,2,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,0.648635,0,3,3,0,1,Headphone/t1_1.wav,1,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,0,1.073575,0,4,4,4,1,Headphone/t3_1.wav,3,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,0,1.017885,0,5,5,1,1,Headphone/t1_2.wav,1,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,space,51.151855,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.382635,0,0,0,5,1,Headphone/t3_2.wav,3,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.936315,0,1,1,4,1,Headphone/t3_1.wav,3,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.788295,0,2,2,3,1,Headphone/t2_2.wav,2,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.668035,0,3,3,0,1,Headphone/t1_1.wav,1,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.738505,0,4,4,2,1,Headphone/t2_1.wav,2,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.61818,0,5,5,1,1,Headphone/t1_2.wav,1,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,space,22.399155,space,8.437815,1,space,4.629905,2,1,7.762065,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,1,1,5.505195,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,2,1,2.529475,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,2,1,1.827635,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,,,,1,1,6.50258,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,space,5.3986,2,1,1.926765,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,60daa04078dbac52c1547920,2021-07-19_15h06.55.588,Agingstudy,2020.2.10,Linux armv7l,60,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,2,1,2.406145,0,1,1,1,1,2,NEW,NEW,,,,,,,,
