Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,21.6392,space,2.1601,space,11.6115,space,9.0783,3,1,1.6654,0,0,0,5,1,Headphone/t3_2.wav,3,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.5779,0,1,1,3,1,Headphone/t2_2.wav,2,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.3785,0,2,2,4,1,Headphone/t3_1.wav,3,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.4187,0,3,3,0,1,Headphone/t1_1.wav,1,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.4581,0,4,4,1,1,Headphone/t1_2.wav,1,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.3515,0,5,5,2,1,Headphone/t2_1.wav,2,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,space,8.1667,space,4.1942,1,space,2.5069,2,1,3.59,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,2.2504,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.6696,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60edd0934873ed0faea813e9,2021-07-26_06h07.55.256,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.486,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
