Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran
space,12.416,space,6.1204,space,3.8048,space,15.0082,1,0,7.212,0,0,0,2,1,Headphone/t2_1.wav,2,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,3.9605,0,1,1,4,1,Headphone/t3_1.wav,3,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,2.5639,0,2,2,5,1,Headphone/t3_2.wav,3,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,2.7502,0,3,3,1,1,Headphone/t1_2.wav,1,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,4.9558,0,4,4,3,1,Headphone/t2_2.wav,2,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,1,1.8384,0,5,5,0,1,Headphone/t1_1.wav,1,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,space,13.6138,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,0,0,0,0,1
,,,,,,,,2,1,2.2118,0,0,0,2,1,Headphone/t2_1.wav,2,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,2.2207,0,1,1,1,1,Headphone/t1_2.wav,1,60eebdc2c0d4c5289b45894b,2021-08-02_07h55.04.867,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
