Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,5.611,space,5.1495,space,6.1974,space,8.6095,2,1,3.6581,0,0,0,3,1,Headphone/t2_2.wav,2,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.1412,0,1,1,1,1,Headphone/t1_2.wav,1,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.0204,0,2,2,5,1,Headphone/t3_2.wav,3,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.6997,0,3,3,0,1,Headphone/t1_1.wav,1,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.8385,0,4,4,2,1,Headphone/t2_1.wav,2,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.685,0,5,5,4,1,Headphone/t3_1.wav,3,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,space,27.992,space,6.098,1,space,4.6007,2,1,4.2061,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,5.337,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.9435,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fca770ebb5c3e25251c752,2021-08-05_21h27.42.309,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,2.0153,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
