Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,11.7096,space,3.6887,space,2.0774,space,16.254,1,1,3.598,0,0,0,0,1,Headphone/t1_1.wav,1,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.2644,0,1,1,4,1,Headphone/t3_1.wav,3,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.597,0,2,2,1,1,Headphone/t1_2.wav,1,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.3681,0,3,3,3,1,Headphone/t2_2.wav,2,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.3859,0,4,4,2,1,Headphone/t2_1.wav,2,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.6159,0,5,5,5,1,Headphone/t3_2.wav,3,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,space,13.7447,space,5.6865,1,space,5.6865,2,1,4.5912,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,0.8942,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,0.5362,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fcd8df537cf56255168df4,2021-08-05_23h26.06.219,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,0.5819,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
