Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,2.03,space,33.4914,space,2.1511,space,5.1461,2,0,12.3915,0,0,0,5,1,Headphone/t3_2.wav,3,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.7108,0,1,1,1,1,Headphone/t1_2.wav,1,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.1646,0,2,2,2,1,Headphone/t2_1.wav,2,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.7801,0,3,3,3,1,Headphone/t2_2.wav,2,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.0149,0,4,4,4,1,Headphone/t3_1.wav,3,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.7517,0,5,5,0,1,Headphone/t1_1.wav,1,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,space,26.5991,space,11.0244,1,space,35.845,2,1,7.3461,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,5.0211,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.0991,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,48.4831,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.7636,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SI_VAI_CHU.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,space,65.1073,2,1,4.1092,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,1.2575,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,3.1153,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/PAI_LU_WA.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.9651,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,3,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.6789,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GU_CHAI_PI.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.6181,0,6,6,6,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,0,1.0304,0,7,7,7,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.2009,0,8,8,8,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,1.0878,0,9,9,9,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60fd0ab923541ffcd2260c02,2021-07-31_22h45.39.197,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,2.3331,0,10,10,10,1,2,NEW,NEW,,,,,,,,
