Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,8.5539,space,6.2517,space,6.0459,space,10.135,2,1,2.2106,0,0,0,2,1,Headphone/t2_1.wav,2,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.9827,0,1,1,3,1,Headphone/t2_2.wav,2,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.7518,0,2,2,1,1,Headphone/t1_2.wav,1,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.702,0,3,3,5,1,Headphone/t3_2.wav,3,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.851,0,4,4,0,1,Headphone/t1_1.wav,1,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.8006,0,5,5,4,1,Headphone/t3_1.wav,3,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,space,22.1813,space,0.0672,1,space,4.5371,2,1,6.6046,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,1.8164,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.1101,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.2278,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,1.2578,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,B,,,,,,,,,,,,,space,7.7663,2,1,3.5834,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,B,,,,,,,,,,,,,,,2,1,1.2026,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,B,,,,,,,,,,,,,,,2,1,0.9682,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,B,,,,,,,,,,,,,,,2,1,0.8515,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_PU_MO.wav,,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,B,,,,,,,,,,,,,,,2,1,0.8008,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,B,,,,,,,,,,,,,,,2,1,1.2346,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,B,,,,,,,,,,,,,,,2,1,1.0502,0,6,6,6,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,60fdffba8b4ce4607c9db7b5,2021-07-31_20h51.49.437,Agingstudy,2020.2.10,MacIntel,60,,,,,B,,,,,,,,,,,,,,,2,1,0.7349,0,7,7,7,1,2,NEW,NEW,,,,,,,,
