Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,9.072,space,4.5021,space,5.6708,space,10.2088,2,1,2.7193,0,0,0,2,1,Headphone/t2_1.wav,2,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.5687,0,1,1,5,1,Headphone/t3_2.wav,3,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.2734,0,2,2,1,1,Headphone/t1_2.wav,1,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.2759,0,3,3,3,1,Headphone/t2_2.wav,2,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.1875,0,4,4,4,1,Headphone/t3_1.wav,3,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.7669,0,5,5,0,1,Headphone/t1_1.wav,1,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,space,14.6789,space,6.6288,1,space,3.0314,2,1,5.5,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,1.7938,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,0.6207,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60fe09fcc19f506114925fdc,2021-07-26_15h03.48.123,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.4678,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
