Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,9.5983,space,7.1246,space,2.6727,space,13.1543,2,1,2.8946,0,0,0,3,1,Headphone/t2_2.wav,2,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.9508,0,1,1,2,1,Headphone/t2_1.wav,2,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.4798,0,2,2,4,1,Headphone/t3_1.wav,3,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.4256,0,3,3,1,1,Headphone/t1_2.wav,1,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.4666,0,4,4,5,1,Headphone/t3_2.wav,3,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.3361,0,5,5,0,1,Headphone/t1_1.wav,1,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,space,23.4601,space,9.1103,1,space,5.9959,2,1,7.1538,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,1.6822,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.7041,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,0.6279,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,2.2336,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,space,6.5092,2,1,4.6719,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,1.9537,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.7513,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.7982,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,1.3513,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,2.1736,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.7881,0,6,6,6,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_SA_TAI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,1.0696,0,7,7,7,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.8727,0,8,8,8,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.8018,0,9,9,9,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.5501,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,2.0235,0,11,11,11,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.5545,0,12,12,12,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_TAI_SA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,0,0.9015,0,13,13,13,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_PU_MO.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.9213,0,14,14,14,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.7396,0,15,15,15,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SA_TAI_GI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,2.4036,0,16,16,16,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.4842,0,17,17,17,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.3215,0,18,18,18,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_MO_PU.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,1.4683,0,19,19,19,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,0,1.3835,0,20,20,20,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SA_GI_TAI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.6382,0,21,21,21,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.2837,0,22,22,22,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.4835,0,23,23,23,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.9636,0,24,24,24,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/MO_DAY_PU.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,0,0.6886,0,25,25,25,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.1839,0,26,26,26,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_GI_SA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,0,1.4022,0,27,27,27,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.1406,0,28,28,28,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.3317,0,29,29,29,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.2487,0,30,30,30,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,1.9159,0,31,31,31,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/PU_DAY_MO.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,1.5678,0,32,32,32,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.3887,0,33,33,33,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,1,1,0.347,0,34,34,34,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,60ff6ba5020f18017fc00ffb,2021-07-31_19h32.48.127,Agingstudy,2020.2.10,MacIntel,60,,,,,C,,,,,,,,,,,,,,,2,1,0.6989,0,35,35,35,1,2,NEW,SIMILAR,,,,,,,,
