Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueButton.keys,ContinueButton.rt,Condition,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,PauseCheckKey.keys,PauseCheckKey.rt,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
space,2.7119,space,2.0149,space,1.4298,space,19.1977,1,0,4.642,0,0,0,4,1,Headphone/t3_1.wav,3,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,1.6725,0,1,1,0,1,Headphone/t1_1.wav,1,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,2.2454,0,2,2,1,1,Headphone/t1_2.wav,1,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.6076,0,3,3,2,1,Headphone/t2_1.wav,2,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.3215,0,4,4,5,1,Headphone/t3_2.wav,3,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.2268,0,5,5,3,1,Headphone/t2_2.wav,2,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,space,2.2754,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.1202,0,0,0,5,1,Headphone/t3_2.wav,3,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.0432,0,1,1,4,1,Headphone/t3_1.wav,3,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.1513,0,2,2,2,1,Headphone/t2_1.wav,2,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
