Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,7.6762,space,6.7159,space,9.9254,space,12.3721,1,1,4.0938,0,0,0,1,1,Headphone/t1_2.wav,1,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.3285,0,1,1,5,1,Headphone/t3_2.wav,3,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.8782,0,2,2,2,1,Headphone/t2_1.wav,2,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.8784,0,3,3,4,1,Headphone/t3_1.wav,3,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.5943,0,4,4,0,1,Headphone/t1_1.wav,1,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.7063,0,5,5,3,1,Headphone/t2_2.wav,2,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,space,31.3599,space,7.881,1,space,4.0819,2,1,8.1234,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.4655,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.3315,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.4095,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,0.9051,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,6100fad499688019dec679cd,2021-08-05_22h28.08.985,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,space,5.527,2,1,3.4881,0,0,0,0,1,2,NEW,NEW,,,,,,,,
