Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,94.0786,space,5.4866,space,5.9201,space,15.6696,2,1,4.4109,0,0,0,2,1,Headphone/t2_1.wav,2,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.3364,0,1,1,0,1,Headphone/t1_1.wav,1,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.4092,0,2,2,3,1,Headphone/t2_2.wav,2,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.3673,0,3,3,1,1,Headphone/t1_2.wav,1,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.1594,0,4,4,4,1,Headphone/t3_1.wav,3,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.1133,0,5,5,5,1,Headphone/t3_2.wav,3,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,space,18.97,space,6.8855,1,space,5.1111,2,1,11.7304,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.6415,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.2898,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,610310f05510d2e94e1e5195,2021-08-05_23h01.22.214,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.7908,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
