Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,2.1352,space,8.2027,space,7.8008,space,10.0106,3,1,4.1321,0,0,0,4,1,Headphone/t3_1.wav,3,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.9227,0,1,1,0,1,Headphone/t1_1.wav,1,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.8841,0,2,2,5,1,Headphone/t3_2.wav,3,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.8169,0,3,3,2,1,Headphone/t2_1.wav,2,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.9175,0,4,4,1,1,Headphone/t1_2.wav,1,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.569,0,5,5,3,1,Headphone/t2_2.wav,2,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,space,16.4396,space,7.6306,1,space,4.4493,2,1,5.3341,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,5.9487,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,6.2677,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6103920464ce8dfb2b5cf7b0,2021-07-31_19h32.05.284,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,5.4861,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
