Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,8.637,space,0.7846,space,5.234,space,19.095,1,1,2.3777,0,0,0,1,1,Headphone/t1_2.wav,1,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.1538,0,1,1,0,1,Headphone/t1_1.wav,1,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.1444,0,2,2,4,1,Headphone/t3_1.wav,3,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.6046,0,3,3,5,1,Headphone/t3_2.wav,3,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.7911,0,4,4,3,1,Headphone/t2_2.wav,2,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.6164,0,5,5,2,1,Headphone/t2_1.wav,2,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,space,22.6201,space,10.5281,1,space,5.0071,2,1,4.5071,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.8505,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.6341,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.2901,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,6154259eca9079e477728fd7,2021-10-31_18h45.50.678,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,0.7168,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
