Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,6.0279,space,12.6171,space,2.7493,space,6.971,2,1,0.8142,0,0,0,2,1,Headphone/t2_1.wav,2,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.2715,0,1,1,4,1,Headphone/t3_1.wav,3,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.3067,0,2,2,5,1,Headphone/t3_2.wav,3,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,2.1442,0,3,3,1,1,Headphone/t1_2.wav,1,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.1211,0,4,4,3,1,Headphone/t2_2.wav,2,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.2778,0,5,5,0,1,Headphone/t1_1.wav,1,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,space,32.907,space,7.01,1,space,3.4465,2,1,2.5051,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,1,0.3171,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,1,0,0.368,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,616e3503faa77a9b103ee397,2021-11-02_13h06.28.433,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,2,1,1.3822,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
