Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,4.1076,space,4.5675,space,4.1439,space,3.2874,3,0,3.729,0,0,0,0,1,Headphone/t1_1.wav,1,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,2.1852,0,1,1,4,1,Headphone/t3_1.wav,3,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.7555,0,2,2,2,1,Headphone/t2_1.wav,2,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,2.0683,0,3,3,1,1,Headphone/t1_2.wav,1,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.1923,0,4,4,3,1,Headphone/t2_2.wav,2,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,1.1602,0,5,5,5,1,Headphone/t3_2.wav,3,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,space,26.5704,space,9.0329,1,space,2.8075,1,0,2.6104,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,1,1,3.647,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,2,1,2.6008,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,2,1,1.7979,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5b100cb0a3553300017541c8,2021-07-15_05h44.14.232,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efbd0aed443d0c7ca94121,,,,,,,,2,0,1.7483,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
