Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,12.4798,space,2.8322,space,3.177,space,7.2439,3,1,0.581,0,0,0,5,1,Headphone/t3_2.wav,3,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.2841,0,1,1,4,1,Headphone/t3_1.wav,3,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.2568,0,2,2,0,1,Headphone/t1_1.wav,1,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.2968,0,3,3,1,1,Headphone/t1_2.wav,1,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.2304,0,4,4,2,1,Headphone/t2_1.wav,2,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.2071,0,5,5,3,1,Headphone/t2_2.wav,2,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,space,39.9268,space,8.7739,1,space,4.9595,2,1,5.2577,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,1,1,1.3869,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,2,1,2.6331,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,2,1,1.4757,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,,,,1,1,1.5327,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,space,16.6487,2,1,7.9875,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,5.1841,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,5.1007,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,4.7355,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,5.3771,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,6.5677,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/ZO_RAI_FU.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,6.561,0,6,6,6,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,4.6213,0,7,7,7,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,4.1278,0,8,8,8,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,1,1,6.438,0,9,9,9,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,5.5596,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,7.8447,0,11,11,11,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,1,1,2.303,0,12,12,12,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,5.7738,0,13,13,13,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,7.9546,0,14,14,14,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FU_RAI_ZO.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,7.3587,0,15,15,15,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5ec79cbd44972a1fceed2719,2021-07-15_06h30.13.886,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efc7cb0c55779792374d1a,,,,,D,,,,,,,,,,,,,,,2,1,7.5245,0,16,16,16,1,2,NEW,NEW,,,,,,,,
