Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,7.2294,space,8.4138,space,41.538,space,11.4146,1,0,7.5421,0,0,0,4,1,Headphone/t3_1.wav,3,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,3.0124,0,1,1,2,1,Headphone/t2_1.wav,2,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.2138,0,2,2,5,1,Headphone/t3_2.wav,3,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,15.7153,0,3,3,0,1,Headphone/t1_1.wav,1,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,1.4393,0,4,4,3,1,Headphone/t2_2.wav,2,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,3.5203,0,5,5,1,1,Headphone/t1_2.wav,1,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,space,22.9352,space,22.0456,1,space,10.7154,2,1,11.4354,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,1,1,3.1976,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,2,1,1.9766,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,,,,2,1,2.6846,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
