Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,ContinueButton.keys,ContinueButton.rt,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,participant,date,expName,psychopyVersion,OS,frameRate,PauseCheckKey.keys,PauseCheckKey.rt,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
space,3.5058,space,0.8786,space,0.7369,space,1.2991,space,19.0757,space,6.6766,0,0,0,0,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,8,8,8,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,9,9,9,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
