Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,8.658,space,2.926,space,1.48,space,6.23,1,1,0.689,0,0,0,1,1,Headphone/t1_2.wav,1,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.283,0,1,1,0,1,Headphone/t1_1.wav,1,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.32,0,2,2,4,1,Headphone/t3_1.wav,3,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.236,0,3,3,2,1,Headphone/t2_1.wav,2,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.317,0,4,4,3,1,Headphone/t2_2.wav,2,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.25,0,5,5,5,1,Headphone/t3_2.wav,3,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,space,44.394,space,7.466,1,space,4.018,2,1,3.385,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,1,1,2.189,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,2,1,1.558,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,1,0,5.065,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5b62e26f3a02cf000108d040,2021-07-09_14h57.32.700,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e855bb3cabd40ad006b9cb,,,,,,,,1,1,1.985,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
