Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,16.7528,space,13.2813,space,62.0482,space,16.8392,2,1,1.9823,0,0,0,3,1,Headphone/t2_2.wav,2,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.8585,0,1,1,1,1,Headphone/t1_2.wav,1,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.8858,0,2,2,4,1,Headphone/t3_1.wav,3,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,2.8032,0,3,3,2,1,Headphone/t2_1.wav,2,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,2.5022,0,4,4,0,1,Headphone/t1_1.wav,1,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,2.2876,0,5,5,5,1,Headphone/t3_2.wav,3,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,space,46.1882,space,17.931,1,space,10.6828,2,1,9.9998,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,1,1,8.8897,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,2,1,3.2385,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5fbc0e54b3efb70778c86227,2021-07-09_19h05.53.304,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60e8813cec66564ae0f67191,,,,,,,,2,1,2.7308,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
