Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,47.8497,space,4.4437,space,7.2324,space,7.3517,3,1,0.778,0,0,0,4,1,Headphone/t3_1.wav,3,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.5017,0,1,1,5,1,Headphone/t3_2.wav,3,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.5662,0,2,2,2,1,Headphone/t2_1.wav,2,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.3921,0,3,3,3,1,Headphone/t2_2.wav,2,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.489,0,4,4,1,1,Headphone/t1_2.wav,1,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.4002,0,5,5,0,1,Headphone/t1_1.wav,1,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,space,30.5577,space,7.2404,1,space,4.4188,2,1,12.349,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,1,1,4.652,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,2,1,2.9713,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,2,1,3.0261,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,,,,1,1,1.3353,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,D,,,,,,,,,,,,,space,10.2196,2,1,3.2873,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,D,,,,,,,,,,,,,,,2,1,3.482,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,D,,,,,,,,,,,,,,,2,1,1.0084,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,D,,,,,,,,,,,,,,,2,1,1.2158,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60de3b24940c209d729e32a5,2021-07-15_21h44.54.939,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f09dcb1529737708cd9610,,,,,D,,,,,,,,,,,,,,,2,1,0.7685,0,4,4,4,1,2,NEW,NEW,,,,,,,,
