Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,4.7222,space,4.5137,space,3.6179,space,6.2231,1,0,5.286,0,0,0,2,1,Headphone/t2_1.wav,2,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,1.4016,0,1,1,5,1,Headphone/t3_2.wav,3,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,16.9853,0,2,2,0,1,Headphone/t1_1.wav,1,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,8.4153,0,3,3,1,1,Headphone/t1_2.wav,1,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.3572,0,4,4,3,1,Headphone/t2_2.wav,2,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.1774,0,5,5,4,1,Headphone/t3_1.wav,3,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,space,3.5365,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.4846,0,0,0,2,1,Headphone/t2_1.wav,2,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.5183,0,1,1,1,1,Headphone/t1_2.wav,1,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
