SoundFile,Type,Correct,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,File,WordCorrect,Correct_type,WordType,Condition,Welcome0Mssg.started,Welcome0Mssg.stopped,Welcome0Continue.keys,Welcome0Continue.rt,Welcome0Continue.started,Welcome0Continue.stopped,SoundCheckTxt.started,SoundCheckTxt.stopped,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckBegin.started,SoundCheckBegin.stopped,VolumeAdjust.started,VolumeAdjust.stopped,SoundCheckEndTxt.started,SoundCheckEndTxt.stopped,SoundCheckEndKey.keys,SoundCheckEndKey.rt,SoundCheckEndKey.started,SoundCheckEndKey.stopped,HeadphoneCheckTxt.started,HeadphoneCheckTxt.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,MSTWelcomeTxt.started,MSTWelcomeTxt.stopped,WelcomeP2Continue.started,WelcomeP2Continue.stopped,ContinueKey8.keys,ContinueKey8.rt,ContinueKey8.started,ContinueKey8.stopped,MSTWelcome2Txt.started,MSTWelcome2Txt.stopped,MSTWelcomeCont.started,MSTWelcomeCont.stopped,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,MSTWelcomeContKey.started,MSTWelcomeContKey.stopped,MSTTrainIntroTxt.started,MSTTrainIntroTxt.stopped,MSTTrainIntroCont.started,MSTTrainIntroCont.stopped,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainIntroKey.started,MSTTrainIntroKey.stopped,PauseTxt2.started,PauseTxt2.stopped,MSTTrainSound.started,MSTTrainSound.stopped,MSTTrainCross.started,MSTTrainCross.stopped,MSTTrainTrialNum.started,MSTTrainTrialNum.stopped,MSTTrainOptions.started,MSTTrainOptions.stopped,MSTTrainMssg.started,MSTTrainMssg.stopped,MSTTrainContinueMssg.started,MSTTrainContinueMssg.stopped,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainKeys.started,MSTTrainKeys.stopped,MSTTrainCross2.started,MSTTrainCross2.stopped,MSTTestBeginTxt.started,MSTTestBeginTxt.stopped,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MSTTestBeginKey.started,MSTTestBeginKey.stopped,MSTTestBegin.started,MSTTestBegin.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,9.43558559997473,None,space,1.0290034000063315,9.43558559997473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.489246399956755,None,space,0.31030299997655675,10.489246399956755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.839107219991273,None,10.836040899972431,None,space,0.3923365999944508,10.836040899972431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25591579999309,None,11.25591579999309,None,space,0.5565695000113919,11.25591579999309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
Training/FO_YI_LAY.wav,NEW,2,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.871052099973895,None,11.871052099973895,None,space,0.8601552000036463,11.871052099973895,None,12.755781799962278,None,12.755781799962278,None,space,1.1643097999622114,12.755781799962278,None,13.939640700002201,None,13.939640700002201,None,space,1.0892070999834687,13.939640700002201,None,15.06219119997695,None,16.072473909991096,None,16.075755600002594,17.255748700001277,16.075755600002594,17.255748700001277,17.272947099991143,None,17.272947099991143,None,17.272947099991143,None,2,1,2.740081599971745,17.272947099991143,None,17.272947099991143,None,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
Training/FO_YI_LAY.wav,OLD,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.063326800009236,None,21.055848910001806,None,21.055818499997258,22.239081099978648,21.055818499997258,22.239081099978648,22.25587319995975,None,22.25587319995975,None,22.25587319995975,None,1,1,1.3913412999827415,22.25587319995975,None,22.25587319995975,None,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
Training/YO_BU_JAY.wav,NEW,2,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.67580949998228,None,24.706490519968796,None,24.71050829999149,25.889291599974968,24.71050829999149,25.889291599974968,25.9057385000051,None,25.9057385000051,None,25.9057385000051,None,2,1,0.890908999950625,25.9057385000051,None,25.9057385000051,None,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
Training/JAY_YO_BU.wav,SIMILAR,2,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.822300600004382,None,27.823053409979913,None,27.82682570000179,29.005974299972877,27.82682570000179,29.005974299972877,29.039893899986055,None,29.039893899986055,None,29.039893899986055,None,2,1,2.018248600012157,29.039893899986055,None,29.039893899986055,None,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
Training/FO_YI_LAY.wav,OLD,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.08940369996708,None,32.08899990998325,None,32.088929099962115,33.2723066000035,32.088929099962115,33.2723066000035,33.28939429996535,None,33.28939429996535,None,33.28939429996535,None,1,1,1.4263164000003599,33.28939429996535,None,33.28939429996535,None,,,,,,,,,,2021_Jul_02_1618,AL,2020.2.10,60.41237485298842,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5878530999762,None,,,,,,,,,,,,,,,,,,,,34.739633699995466,None,space,5.745898200024385,34.739633699995466,None,34.739633699995466,None,,,,,,
